portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,70331,USDT-USDC,SELL,2021-05-26T02:36:50.411Z,1.27000000,USDT,1.0012,0.004450334,1.267073666,USDC
default,78568,AVAX-USD,BUY,2021-10-02T04:33:43.918Z,2.49500000,AVAX,65.95,0.575908375,-165.121158375,USD
default,78732,AVAX-USD,BUY,2021-10-02T04:51:05.475Z,1.97000000,AVAX,66.18,0.4563111,-130.8309111,USD
default,273756,USDT-USD,BUY,2021-05-10T01:09:08.203Z,57.20000000,USDT,1.0012,0.20044024,-57.46908024,USD
default,274248,USDT-USD,SELL,2021-05-10T01:20:56.108Z,1.00000000,USDT,1.0011,0.00350385,0.99759615,USD
default,274332,USDT-USD,SELL,2021-05-10T01:22:28.644Z,5.29000000,USDT,1.0012,0.018537218,5.277810782,USD
default,1315278,USDT-USD,BUY,2021-05-26T02:32:48.959Z,1.18000000,USDT,1.001,0.00413413,-1.18531413,USD
default,1504991,AVAX-USD,SELL,2021-11-08T08:15:43.261Z,4.46500000,AVAX,94.17,1.471641675,418.997408325,USD
default,1736914,AVAX-USD,BUY,2021-11-10T20:51:05.726Z,4.45000000,AVAX,83.53,1.30097975,-373.00947975,USD
default,1954993,AVAX-USD,SELL,2021-11-13T19:20:48.569Z,4.45000000,AVAX,94.9,1.4780675,420.8269325,USD
default,1969419,SHIB-USD,BUY,2021-09-17T23:48:00.705Z,14684546.00000000,SHIB,0.00000847,0.6218905231,-124.9999951431,USD
default,2543282,ETH-USDC,SELL,2021-01-11T03:16:46.545Z,0.00300000,ETH,1134.9,0.01191645,3.39278355,USDC
default,2543283,ETH-USDC,SELL,2021-01-11T03:16:46.545Z,0.07944431,ETH,1134.88,0.3155591548648,89.8441993779352,USDC
default,2543284,ETH-USDC,SELL,2021-01-11T03:16:46.545Z,1.13843702,ETH,1134.39,4.5200104989123,1286.9115606188877,USDC
default,2567143,ETH-USDC,BUY,2021-01-11T07:45:40.323Z,0.24393445,ETH,1080.24,0.922277125938,-264.430027393938,USDC
default,2567144,ETH-USDC,BUY,2021-01-11T07:45:40.323Z,0.17713277,ETH,1080.24,0.6697106621268,-192.0156141269268,USDC
default,2567145,ETH-USDC,BUY,2021-01-11T07:45:40.323Z,0.20000000,ETH,1080.26,0.756182,-216.808182,USDC
default,2567146,ETH-USDC,BUY,2021-01-11T07:45:40.323Z,0.64652252,ETH,1080.32,2.4445792308224,-700.8957880372224,USDC
default,3434785,ETH-USDC,SELL,2021-02-04T09:11:37.276Z,1.02547042,ETH,1578.36,5.6649652223892,1612.8965268888108,USDC
default,3460920,ETH-USDC,BUY,2021-02-05T08:03:04.997Z,0.96000000,ETH,1670,5.6112,-1608.8112,USDC
default,3460922,ETH-USDC,BUY,2021-02-05T08:03:05.396Z,0.00601741,ETH,1670,0.03517176145,-10.08424646145,USDC
default,3513769,ETH-USDC,SELL,2021-02-07T04:37:20.104Z,0.96601741,ETH,1604.66,5.4254532399571,1544.7040438906429,USDC
default,3536960,ETH-USDC,BUY,2021-02-07T22:43:26.401Z,0.96793229,ETH,1590.31,5.38759340038465,-1544.69999351028465,USDC
default,4055355,AVAX-USD,BUY,2021-11-26T22:56:27.926Z,8.33200000,AVAX,105.13,3.06580106,-879.00896106,USD
default,4335979,AVAX-USD,SELL,2021-11-29T19:47:50.282Z,4.16000000,AVAX,114.57,1.6681392,474.9430608,USD
default,4564823,DOT-USD,BUY,2021-09-21T07:36:10.756Z,3.40000000,DOT,29,0.493,-99.093,USD
default,4603802,DOT-USD,BUY,2021-09-21T20:27:17.746Z,4.86800000,DOT,27,0.65718,-132.09318,USD
default,4618414,AVAX-USD,SELL,2021-12-01T21:03:58.577Z,4.17200000,AVAX,119.38,1.74318676,496.31017324,USD
default,4836153,AVAX-USD,BUY,2021-12-03T15:12:13.054Z,6.22000000,AVAX,108.19,2.3552963,-675.2970963,USD
default,4836154,AVAX-USD,BUY,2021-12-03T15:12:13.054Z,2.95800000,AVAX,108.19,1.12009107,-321.14611107,USD
